"","fips","county","state","death","cases"
"1",1001,"Autauga","Alabama",138,3580
"2",1003,"Baldwin","Alabama",242,9329
"3",1005,"Barbour","Alabama",29,2561
"4",1007,"Bibb","Alabama",20,2002
"5",1009,"Blount","Alabama",11,1841
"6",1011,"Bullock","Alabama",28,1632
"7",1013,"Butler","Alabama",196,6808
"8",1015,"Calhoun","Alabama",121,5331
"9",1017,"Chambers","Alabama",951,14927
"10",1019,"Cherokee","Alabama",12,977
"11",1021,"Chilton","Alabama",36,3056
"12",1023,"Choctaw","Alabama",57,2867
"13",1025,"Clarke","Alabama",52,2478
"14",1027,"Clay","Alabama",49,1139
"15",1029,"Cleburne","Alabama",39,701
"16",1031,"Coffee","Alabama",19,5838
"17",1033,"Colbert","Alabama",86,2720
"18",1035,"Conecuh","Alabama",7,651
"19",1037,"Coosa","Alabama",45,1442
"20",1039,"Covington","Alabama",36,2061
"21",1041,"Crenshaw","Alabama",27,1379
"22",1043,"Cullman","Alabama",17,2973
"23",1045,"Dale","Alabama",0,1926
"24",1047,"Dallas","Alabama",117,4183
"25",1049,"DeKalb","Alabama",92,5638
"26",1051,"Elmore","Alabama",152,6475
"27",1053,"Escambia","Alabama",86,1392
"28",1055,"Etowah","Alabama",458,7724
"29",1057,"Fayette","Alabama",0,332
"30",1059,"Franklin","Alabama",85,8497
"31",1061,"Geneva","Alabama",0,633
"32",1063,"Greene","Alabama",89,2815
"33",1065,"Hale","Alabama",85,2965
"34",1067,"Henry","Alabama",38,1457
"35",1069,"Houston","Alabama",166,5038
"36",1071,"Jackson","Alabama",113,2608
"37",1073,"Jefferson","Alabama",2524,54904
"38",1075,"Lamar","Alabama",0,625
"39",1077,"Lauderdale","Alabama",145,3486
"40",1079,"Lawrence","Alabama",0,1048
"41",1081,"Lee","Alabama",1215,20241
"42",1083,"Limestone","Alabama",0,2893
"43",1085,"Lowndes","Alabama",197,4100
"44",1087,"Macon","Alabama",96,1966
"45",1089,"Madison","Alabama",207,13227
"46",1091,"Marengo","Alabama",174,3409
"47",1093,"Marion","Alabama",345,4243
"48",1095,"Marshall","Alabama",311,19399
"49",1097,"Mobile","Alabama",3204,60001
"50",1099,"Monroe","Alabama",65,761
"51",1101,"Montgomery","Alabama",628,26835
"52",1103,"Morgan","Alabama",16,4510
"53",1105,"Perry","Alabama",0,750
"54",1107,"Pickens","Alabama",85,2875
"55",1109,"Pike","Alabama",0,3896
"56",1111,"Randolph","Alabama",259,4103
"57",1113,"Russell","Alabama",0,3536
"58",1115,"St. Clair","Alabama",22,3883
"59",1117,"Shelby","Alabama",664,17862
"60",1119,"Sumter","Alabama",131,4359
"61",1121,"Talladega","Alabama",84,3270
"62",1123,"Tallapoosa","Alabama",1521,13780
"63",1125,"Tuscaloosa","Alabama",189,13573
"64",1127,"Walker","Alabama",9,6296
"65",1129,"Washington","Alabama",134,1930
"66",1131,"Wilcox","Alabama",145,3550
"67",1133,"Winston","Alabama",6,1169
"68",2020,"Anchorage","Alaska",225,9759
"69",2050,"Bethel Census Area","Alaska",0,64
"70",2090,"Fairbanks North Star Borough","Alaska",101,4633
"71",2110,"Juneau City and Borough","Alaska",0,1416
"72",2122,"Kenai Peninsula Borough","Alaska",22,1143
"73",2130,"Ketchikan Gateway Borough","Alaska",0,999
"74",2150,"Kodiak Island Borough","Alaska",0,42
"75",2170,"Matanuska-Susitna Borough","Alaska",44,1010
"76",2180,"Nome Census Area","Alaska",0,54
"77",2188,"Northwest Arctic Borough","Alaska",0,13
"78",2195,"Petersburg Borough","Alaska",0,121
"79",2198,"Prince of Wales-Hyder Census Area","Alaska",0,91
"80",2220,"Sitka City and Borough","Alaska",0,34
"81",2240,"Southeast Fairbanks Census Area","Alaska",0,91
"82",2261,"Valdez-Cordova Census Area","Alaska",0,26
"83",2290,"Yukon-Koyukuk Census Area","Alaska",0,56
"84",4001,"Apache","Arizona",508,28223
"85",4003,"Cochise","Arizona",22,1888
"86",4005,"Coconino","Arizona",2363,30289
"87",4007,"Gila","Arizona",22,723
"88",4009,"Graham","Arizona",1,685
"89",4011,"Greenlee","Arizona",0,115
"90",4012,"La Paz","Arizona",73,1012
"91",4013,"Maricopa","Arizona",9779,249567
"92",4015,"Mohave","Arizona",767,7549
"93",4017,"Navajo","Arizona",1413,43812
"94",4019,"Pima","Arizona",5137,69310
"95",4021,"Pinal","Arizona",837,23882
"96",4023,"Santa Cruz","Arizona",0,2688
"97",4025,"Yavapai","Arizona",144,7735
"98",4027,"Yuma","Arizona",129,9746
"99",5001,"Arkansas","Arkansas",0,118
"100",5003,"Ashley","Arkansas",0,776
"101",5005,"Baxter","Arkansas",0,290
"102",5007,"Benton","Arkansas",0,6480
"103",5009,"Boone","Arkansas",0,242
"104",5011,"Bradley","Arkansas",39,588
"105",5015,"Carroll","Arkansas",0,277
"106",5017,"Chicot","Arkansas",0,475
"107",5019,"Clark","Arkansas",0,1870
"108",5021,"Clay","Arkansas",0,126
"109",5023,"Cleburne","Arkansas",238,4518
"110",5025,"Cleveland","Arkansas",0,673
"111",5027,"Columbia","Arkansas",52,595
"112",5029,"Conway","Arkansas",61,564
"113",5031,"Craighead","Arkansas",11,4703
"114",5033,"Crawford","Arkansas",0,359
"115",5035,"Crittenden","Arkansas",284,9817
"116",5037,"Cross","Arkansas",0,1168
"117",5039,"Dallas","Arkansas",0,54
"118",5041,"Desha","Arkansas",0,742
"119",5043,"Drew","Arkansas",48,731
"120",5045,"Faulkner","Arkansas",116,4387
"121",5047,"Franklin","Arkansas",0,95
"122",5049,"Fulton","Arkansas",0,104
"123",5051,"Garland","Arkansas",22,6182
"124",5053,"Grant","Arkansas",0,713
"125",5055,"Greene","Arkansas",0,1058
"126",5057,"Hempstead","Arkansas",49,366
"127",5059,"Hot Spring","Arkansas",0,977
"128",5061,"Howard","Arkansas",1,693
"129",5063,"Independence","Arkansas",0,768
"130",5065,"Izard","Arkansas",0,389
"131",5067,"Jackson","Arkansas",0,45
"132",5069,"Jefferson","Arkansas",684,12953
